Id,Word,Affix
1,a,
2,A.A.,
3,AA,
4,A.B,
5,AB,
6,A.D,
7,AD,
8,A.M.N,
9,AMN,
10,a.n.,
11,an,
12,a.s.,
13,as,
14,A.S.,
15,a.s.,
16,A.T.,
17,a.t.,
18,aba,
19,aba-aba,
20,abad,/i0
21,abadi,/DkMkO0k0nl
22,abadiah,
23,abadiat,
24,abah,/DkMk
25,abah-abah,
26,abai,/DkMkPaTka0k0
27,abaimana,
28,abaka,
29,abalone,
30,abang,/B0o0
31,abar,/BkD0M0T0a0
32,abar-abar,
33,abau,
34,ABC,
34,Abd.,
35,abdas,/B0
36,abdi,/D0DkM0MkP0Pao0
37,abdikasi,
38,abdomen,
39,abese,
40,abet,/M0
41,abiad,
42,abid,
43,abidin,
44,abilah,
45,ABIM,
46,abintara,
47,abiogenesis,
48,abjad,/B0DkM0MkPa
49,ablasi,
50,abnormal,
51,abnus,
52,aboi,
53,abon,
54,abonemen,/B0
55,abrak,
56,abrar,
57,abras,
58,abrit,
59,abrit-abrit,/a0
60,absah,/KaMkPa
61,absen,/D0M0
62,abses,
63,absolusi,
64,absolutisme,
65,abstrak,/DkMk
66,abstraksi,
67,absurd,/z0
68,abtar,
69,abu,/DiDkDuM0MiMkPaRaRkMuo0
70,abu-abu,/Ka
71,abuh,/a0
72,abuk,/M0
73,abuk-abuk,
74,abun-abun,
75,abung,
76,abur,/M0P0
77,abus,
78,abuya,
79,abvolt,
80,abyad,
81,Ac,
82,acah,/M0P0
83,acah-acah,/B0
84,acak,/M0
85,acak-acak,/a0
86,acan,/M0
87,acang,
88,acang-acang,
89,acap,/MiMk
90,acap-acap,
91,acar,
92,acara,/B0DkKqM0MkP0o0
93,acaram,
94,acau,/M0P0
95,aci,/M0Mk
96,aci-aci,/Mka0n0
97,acik,
98,acita,
99,aco,/M0a0
100,acu,/DkM0MkPaa0
